assignee,dt,asset_provider_name,asset_name,disposer_name,n_case,n_dt,assign_amt_principal,repaid_amt
,2022-06-01,PH,普惠资产,AMD_一兆米,53,1,118106.27000000002,
,2022-06-01,WACAI,力蕴资产,湖南和畅,21,1,211209.8,
,2022-06-01,信喜,信喜资产,乌市米东,498,1,4379221.570000004,
,2022-06-01,美利,有用资产,聚宝,19,1,129083.46999999999,
,2022-06-01,WACAI,普惠资产,A-卫信普众-WW,1,1,341.93,
,2022-06-01,PH,普惠资产,柳暗花明集团,201,1,239833.63999999996,
,2022-06-01,信用家,信用家资产,A-国金-WW,7,1,178451.22,
,2022-06-01,挖财,信喜资产,AMD_笑康,1464,1,2413257.100000001,
,2022-06-01,WACAI,普惠资产,A-棣增-WW,5,1,6989.5599999999995,
,2022-06-01,信用家,信用家资产,祥平调解,326,1,1.4459345480000004E7,
,2022-06-01,方舟,信喜资产,AMD_停催,43363,1,6.885901864998323E7,
,2022-06-01,还呗,2021还呗资产包合作项目2.0,A-谨诚治信-WW,3998,1,1.093680387000002E7,
,2022-06-01,WACAI,力蕴资产,A-银盛达-WW,15,1,147102.66000000003,
,2022-06-01,挖财,信喜资产,AMD_自营_XH,2853,1,5972319.219999998,
,2022-06-01,力蕴,HUACHANG,新浪诉调,136,1,1.0122776020000005E7,
,2022-06-01,PH,普惠资产,A-鼎晟世纪-WW,3,1,3590.25,
,2022-06-01,方舟,信喜资产,汉法通-杭州汉资-出售,2002,1,1.8659422929999985E7,
,2022-06-01,力蕴,HUACHANG,A-银盛达-WW,493,1,2.5590794890000015E7,
,2022-06-01,美利,有用资产,A-永胜同创-WW,25,1,31596.0,
,2022-06-01,力蕴,HUACHANG,安徽冠弘,539,1,2.704993814999999E7,
,2022-06-01,挖财,信喜资产,聚宝-西湖,147,1,866280.0699999998,
,2022-06-01,PH,普惠资产,惠今,79,1,125655.77000000003,
,2022-06-01,还呗,2021还呗资产包合作项目2.0,AMD_优腾,3117,1,1.0827162379999999E7,
,2022-06-01,信用家,信用家资产,湖南银曜_WW,229,1,6287634.989999999,
,2022-06-01,美利,有用资产,A-棣增-WW,79,1,188591.42,
,2022-06-01,普惠达飞,平安普惠立信达飞资产包,AMD_柏胜,11,1,41241.44,
,2022-06-01,美利,有用资产,AMD_一兆米,480,1,511571.9,
,2022-06-01,挖财,信喜资产,AMD_停催,62,1,152908.25,
,2022-06-01,WACAI,普惠资产,A-安徽晟鑫-WW,1,1,993.59,
